iter	MAE	RMSE
109	0.4379262523	0.5613003571
110	0.4377453115	0.5610908081
111	0.4375745631	0.5609128011
112	0.4374194654	0.5607325655
113	0.4373136688	0.5605993021
114	0.4371515576	0.5604263555
115	0.4369212053	0.5602001922
116	0.4366765544	0.5599814257
117	0.4365755233	0.5598523657
118	0.4364271335	0.5597013587
119	0.4362594981	0.5595295667
120	0.4360898855	0.5593389611
121	0.4358832131	0.5591557581
122	0.4357183676	0.5590041409
123	0.4355525615	0.5588200237
124	0.4354714516	0.5587108275
125	0.4352612965	0.55851851
126	0.4350695823	0.558321961
127	0.4349372959	0.5581929964
128	0.4347592802	0.5579590745
129	0.4346486172	0.5578564836
130	0.4344864435	0.5576542244
131	0.4343644635	0.5575334822
132	0.4342504424	0.5574206071
133	0.4341135095	0.5572842841
134	0.4340014293	0.5571504917
135	0.4338568718	0.5570276017
136	0.4336962429	0.5568572864
137	0.4335303157	0.5566818478
138	0.4334253461	0.5565770078
139	0.4333544144	0.5564978003
140	0.4332855957	0.5564100742
141	0.433142765	0.5562597735
142	0.4330491933	0.5561493716
143	0.432911951	0.5559987438
144	0.4327401726	0.5557833166
145	0.4326580885	0.5556928424
146	0.43256566	0.5555919697
147	0.4324882749	0.5555085566
148	0.4323772818	0.5554146258
149	0.432265139	0.5552975186
150	0.4321600523	0.5551933726
151	0.4320404394	0.5550484159
152	0.431926876	0.5549396812
153	0.4318662497	0.5548596714
154	0.4317790151	0.5547623186
155	0.4316795249	0.5546627519
156	0.4315939852	0.5545595182
157	0.4315222034	0.5544768615
158	0.4314667799	0.5544184377
159	0.4314068004	0.5543544256
160	0.4313251359	0.5542573342
161	0.4312024114	0.5541434772
162	0.4310832629	0.5540089336
163	0.4309210022	0.5538312398
164	0.4308034684	0.5536695314
165	0.4306661099	0.5534910577
166	0.4306012142	0.5534122477
167	0.4305126408	0.5533137637
168	0.4304017933	0.5531989825
169	0.4302843603	0.553084034
170	0.4301703766	0.5529591607
171	0.4300675107	0.5528526789
172	0.4300320607	0.552793768
173	0.4299602769	0.5527192659
174	0.4298716348	0.5526341032
175	0.429827194	0.5525797816
176	0.4297565245	0.5524894438
177	0.4296937244	0.5524234788
178	0.4296277963	0.5523538782
179	0.4295548475	0.552267798
180	0.4294500538	0.5521542106
181	0.4293304214	0.5520370837
182	0.42923996	0.5519358819
183	0.4291688946	0.5518414372
184	0.4290878364	0.551748435
185	0.4290419574	0.5516883121
186	0.4289699128	0.5516156892
187	0.4288721532	0.5514741127
188	0.4287819255	0.5513797294
189	0.4286887569	0.5512801053
190	0.4286193651	0.5512205951
191	0.4285398034	0.5511265496
192	0.4284362489	0.5509987642
193	0.4283900274	0.5509405225
194	0.4283366559	0.5508809867
195	0.4282752281	0.5508027955
196	0.4281826639	0.5506850909
197	0.4281359985	0.5506222521
198	0.4281079786	0.5505730511
199	0.4280622228	0.5505197033
